"key","de-DE","en-US","it-IT","es-ES"
"custom.data.type.georef.name","Freie Georeferenzierung auf Karte setzen (Georef)",
"custom.data.type.georef.edit.button|icon","edit",
"custom.data.type.georef.remove.button|icon","trash",
"custom.data.type.georef.config.option.mask.editor_style.value.inline","Eingebettet",
"custom.data.type.georef.setting.mask.editor_style","Editor-Stil",
"custom.data.type.georef.config.option.mask.editor_style.value.popover","Popover",
"custom.data.type.georef.modal.form.url.placeholder","georef-Verknüpfung",
"custom.data.type.georef.modal.form.text.label","Text",
"custom.data.type.georef.edit.modal.title|text","Freie Georeferenzierung auf Karte setzen (Georef)",
"custom.data.type.georef.edit.no_valid_georef","Keine valide georef-Verknüpfung",
"custom.data.type.georef.edit.no_georef","Keine georef-Verknüpfung gesetzt",
"custom.data.type.georef.modal.form.text.result.placeholder","noch leer",
"custom.data.type.georef.modal.form.text.uri.label.placeholder","noch leer",
"custom.data.type.georef.config.parameter.schema.mapbox_access_token.value.label","Mapbox-Access-Token (für Kartenanzeige benötigt)",
